yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,name,park,attendance
1877,NL,SL3,SBS,,4,60,,28,32,,,N,,St. Louis Brown Stockings,Sportsman's Park I,
1878,NL,BSN,ATL,,1,60,,41,19,,,Y,,Boston Red Caps,South End Grounds I,
1878,NL,CHN,CHC,,4,61,,30,30,,,N,,Chicago White Stockings,Lake Front Park I,
1878,NL,CN1,CNR,,2,61,,37,23,,,N,,Cincinnati Reds,Avenue Grounds,
1878,NL,IN1,IBL,,5,63,,24,36,,,N,,Indianapolis Blues,South Street Park,
1878,NL,ML2,MLG,,6,61,,15,45,,,N,,Milwaukee Grays,Eclipse Park II,
1878,NL,PRO,PRO,,3,62,,33,27,,,N,,Providence Grays,Messer Street Grounds,
1879,NL,BFN,BUF,,3,79,,46,32,,,N,,Buffalo Bisons,Riverside Park,
1879,NL,BSN,ATL,,2,84,,54,30,,,N,,Boston Red Caps,South End Grounds I,
1879,NL,CHN,CHC,,4,83,,46,33,,,N,,Chicago White Stockings,Lake Front Park I,
1879,NL,CL2,CBL,,6,82,,27,55,,,N,,Cleveland Blues,Kennard Street Park,
1879,NL,CN1,CNR,,5,81,,43,37,,,N,,Cincinnati Reds,Avenue Grounds,
1879,NL,PRO,PRO,,1,85,,59,25,,,Y,,Providence Grays,Messer Street Grounds,
1879,NL,SR1,SYR,,7,71,,22,48,,,N,,Syracuse Stars,Newell Park,
1879,NL,TRN,TRT,,8,77,,19,56,,,N,,Troy Trojans,Putnam Grounds,
1880,NL,BFN,BUF,,7,85,,24,58,,,N,,Buffalo Bisons,Riverside Park,
1880,NL,BSN,ATL,,6,86,,40,44,,,N,,Boston Red Caps,South End Grounds I,
1880,NL,CHN,CHC,,1,86,,67,17,,,Y,,Chicago White Stockings,Lake Front Park I,
1880,NL,CL2,CBL,,3,85,,47,37,,,N,,Cleveland Blues,Kennard Street Park,
1880,NL,CN1,CNR,,8,83,,21,59,,,N,,Cincinnati Reds,Bank Street Grounds,
1880,NL,PRO,PRO,,2,87,,52,32,,,N,,Providence Grays,Messer Street Grounds,
1880,NL,TRN,TRT,,4,83,,41,42,,,N,,Troy Trojans,Haymakers' Grounds,
1880,NL,WOR,WOR,,5,85,,40,43,,,N,,Worcester Ruby Legs,Worcester Driving Park Grounds,
1881,NL,BFN,BUF,,3,83,,45,38,,,N,,Buffalo Bisons,Riverside Park,
1881,NL,BSN,ATL,,6,83,,38,45,,,N,,Boston Red Caps,South End Grounds I,
1881,NL,CHN,CHC,,1,84,,56,28,,,Y,,Chicago White Stockings,Lake Front Park I,
1881,NL,CL2,CBL,,7,85,,36,48,,,N,,Cleveland Blues,Kennard Street Park,
1881,NL,DTN,DTN,,4,84,,41,43,,,N,,Detroit Wolverines,Recreation Park,
1881,NL,PRO,PRO,,2,85,,47,37,,,N,,Providence Grays,Messer Street Grounds,
1881,NL,TRN,TRT,,5,85,,39,45,,,N,,Troy Trojans,Haymakers' Grounds,
1881,NL,WOR,WOR,,8,83,,32,50,,,N,,Worcester Ruby Legs,Worcester Driving Park Grounds,
1882,NL,BFN,BUF,,3,84,,45,39,,,N,,Buffalo Bisons,Riverside Park,
1882,AA,BL2,BLO,,6,74,,19,54,,,N,,Baltimore Orioles,Newington Park,
1882,NL,BSN,ATL,,3,85,,45,39,,,N,,Boston Red Caps,South End Grounds I,
1882,NL,CHN,CHC,,1,84,,55,29,,,Y,,Chicago White Stockings,Lake Front Park I/Lake Front Park II,
1882,NL,CL2,CBL,,5,84,,42,40,,,N,,Cleveland Blues,Kennard Street Park,
1882,AA,CN2,CIN,,1,80,,55,25,,,Y,,Cincinnati Red Stockings,Bank Street Grounds,
1882,NL,DTN,DTN,,5,86,,42,41,,,N,,Detroit Wolverines,Recreation Park,
1882,AA,LS2,LOU,,2,80,,42,38,,,N,,Louisville Eclipse,Eclipse Park I,
1882,AA,PH4,PHA,,3,75,,41,34,,,N,,Philadelphia Athletics,Oakdale Park,
1882,NL,PRO,PRO,,2,84,,52,32,,,N,,Providence Grays,Messer Street Grounds,
1882,AA,PT1,PIT,,4,79,,39,39,,,N,,Pittsburg Alleghenys,Exposition Park I,
1882,AA,SL4,STL,,5,80,,37,43,,,N,,St. Louis Brown Stockings,Sportsman's Park I,
1882,NL,TRN,TRT,,7,85,,35,48,,,N,,Troy Trojans,Troy Ball Club Grounds,
1882,NL,WOR,WOR,,8,84,,18,66,,,N,,Worcester Ruby Legs,Worcester Driving Park Grounds,
1883,NL,BFN,BUF,,5,98,,52,45,,,N,,Buffalo Bisons,Riverside Park,
1883,AA,BL2,BLO,,8,96,,28,68,,,N,,Baltimore Orioles,Oriole Park,
1883,NL,BSN,ATL,,1,98,,63,35,,,Y,,Boston Beaneaters,South End Grounds I,
1883,NL,CHN,CHC,,2,98,,59,39,,,N,,Chicago White Stockings,Lake Front Park II,
1883,NL,CL2,CBL,,4,100,,55,42,,,N,,Cleveland Blues,Kennard Street Park,
1883,AA,CL5,CBK,,6,97,,32,65,,,N,,Columbus Buckeyes,Recreation Park I,
1883,AA,CN2,CIN,,3,98,,61,37,,,N,,Cincinnati Red Stockings,Bank Street Grounds,
1883,NL,DTN,DTN,,7,101,,40,58,,,N,,Detroit Wolverines,Recreation Park,
1883,AA,LS2,LOU,,5,98,,52,45,,,N,,Louisville Eclipse,Eclipse Park I,
1883,NL,NY1,SFG,,6,98,,46,50,,,N,,New York Gothams,Polo Grounds I,
1883,AA,NY4,NYP,,4,97,,54,42,,,N,,New York Metropolitans,Polo Grounds I West Diamond,
1883,AA,PH4,PHA,,1,98,,66,32,,,Y,,Philadelphia Athletics,Jefferson Street Grounds,
1883,NL,PHI,PHI,,8,99,,17,81,,,N,,Philadelphia Quakers,Recreation Park,
1883,NL,PRO,PRO,,3,98,,58,40,,,N,,Providence Grays,Messer Street Grounds,
1883,AA,PT1,PIT,,7,98,,31,67,,,N,,Pittsburg Alleghenys,Exposition Park I,
1883,AA,SL4,STL,,2,98,,65,33,,,N,,St. Louis Browns,Sportsman's Park I,
1884,UA,ALT,ALT,,10,25,,6,19,,,N,,Altoona Mountain City,,
1884,NL,BFN,BUF,,3,115,,64,47,,,N,N,Buffalo Bisons,Olympic Park I,
1884,AA,BL2,BLO,,6,108,,63,43,,,N,N,Baltimore Orioles,Oriole Park,
1884,UA,BLU,BLU,,4,106,,58,47,,,N,,Baltimore Monumentals,,
1884,AA,BR3,LAD,,9,109,,40,64,,,N,N,Brooklyn Atlantics,Washington Park I,
1884,NL,BSN,ATL,,2,116,,73,38,,,N,N,Boston Beaneaters,South End Grounds I,
1884,UA,BSU,BRD,,5,111,,58,51,,,N,,Boston Reds,,
1884,NL,CHN,CHC,,5,113,,62,50,,,N,N,Chicago White Stockings,Lake Front Park II,
1884,UA,CHU,CPI,,6,93,,41,50,,,N,,Chicago/Pittsburgh (Union League),,
1884,NL,CL2,CBL,,7,113,,35,77,,,N,N,Cleveland Blues,Kennard Street Park,
1884,AA,CL5,CBK,,2,110,,69,39,,,N,N,Columbus Buckeyes,Recreation Park I,
1884,AA,CN2,CIN,,5,112,,68,41,,,N,N,Cincinnati Red Stockings,League Park I in Cincinnati,
1884,UA,CNU,COR,,3,105,,69,36,,,N,,Cincinnati Outlaw Reds,,
1884,NL,DTN,DTN,,8,114,,28,84,,,N,N,Detroit Wolverines,Recreation Park,
1884,AA,IN2,IHO,,12,110,,29,78,,,N,N,Indianapolis Hoosiers,Seventh Street Park,
1884,UA,KCU,KCU,,11,82,,16,63,,,N,,Kansas City Cowboys,,
1884,AA,LS2,LOU,,3,110,,68,40,,,N,N,Louisville Eclipse,Eclipse Park I,
1884,UA,MLU,MLU,,2,12,,8,4,,,N,,Milwaukee Brewers,,
1884,NL,NY1,SFG,,4,116,,62,50,,,N,N,New York Gothams,Polo Grounds I,
1884,AA,NY4,NYP,,1,112,,75,32,,,Y,N,New York Metropolitans,Polo Grounds I West Diamond,
1884,AA,PH4,PHA,,7,108,,61,46,,,N,N,Philadelphia Athletics,Jefferson Street Grounds,
1884,NL,PHI,PHI,,6,113,,39,73,,,N,N,Philadelphia Quakers,Recreation Park,
1884,UA,PHU,PHK,,8,67,,21,46,,,N,,Philadelphia Keystones,,
1884,NL,PRO,PRO,,1,114,,84,28,,,Y,Y,Providence Grays,Messer Street Grounds,
1884,AA,PT1,PIT,,11,110,,30,78,,,N,N,Pittsburg Alleghenys,Recreation Park,
1884,AA,RIC,RIC,,10,46,,12,30,,,N,N,Richmond Virginians,Allen Pasture,
1884,AA,SL4,STL,,4,110,,67,40,,,N,N,St. Louis Browns,Sportsman's Park I,
1884,UA,SLU,SLM,,1,114,,94,19,,,Y,,St. Louis Maroons,,
1884,UA,SPU,STP,,9,9,,2,6,,,N,,St. Paul White Caps,,
1884,AA,TL1,TOL,,8,110,,46,58,,,N,N,Toledo Blue Stockings,League Park,
1884,UA,WIL,WIL,,12,18,,2,16,,,N,,Wilmington Quicksteps,,
1884,AA,WS7,WST,,13,63,,12,51,,,N,N,Washington Nationals,Athletic Park,
1884,UA,WSU,WNA,,7,114,,47,65,,,N,,Washington Nationals,,
1885,NL,BFN,BUF,,7,112,,38,74,,,N,N,Buffalo Bisons,Olympic Park I,
1885,AA,BL2,BLO,,8,110,,41,68,,,N,N,Baltimore Orioles,Oriole Park,
