SZL,Swaziland Lilangeni,African currencies
THB,Thailand Baht,Eurasian currencies
TJS,Tajikistan Somoni,Eurasian currencies
TMT,Turkmenistan Manat,Eurasian currencies
TND,Tunisia Dinar,African currencies
TOP,Tonga Paanga,Oceanian currencies
TRL,EY_Unknown (TRL),Unknown
TRY,Turkey Lira,Eurasian currencies
TTD,Trinidad and Tobago Dollar,Latin American currencies
TVD,Tuvalu Dollar,Oceanian currencies
TWD,Taiwan New Dollar,Eurasian currencies
TZS,Tanzania Shilling,African currencies
UAH,Ukraine Hryvna,Eurasian currencies
UGX,Uganda Shilling,African currencies
USD,United States Dollar,USD
UYU,Uruguay Peso,Latin American currencies
UZS,Uzbekistan Som,Eurasian currencies
VEF,Venezuela Bolivar,Latin American currencies
VND,Viet Nam Dong,Eurasian currencies
VUV,Vanuatu Vatu,Oceanian currencies
WST,Samoa Tala,Oceanian currencies
XAF,Communauté Financière Africaine (BEAC) CFA Franc BEAC,African currencies
XCD,East Caribbean Dollar,Latin American currencies
XDR,International Monetary Fund (IMF) Special Drawing Rights,NULL
XOF,Communauté Financière Africaine (BCEAO) Franc,African currencies
XPF,Comptoirs Français du Pacifique (CFP) Franc,Oceanian currencies
YER,Yemen Rial,Eurasian currencies
ZAR,South Africa Rand,African currencies
ZMK,Zambia Kwacha,African currencies
ZWD,Zimbabwe Dollar,NULL
