0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,EY_0000,EY_DEFAULT,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,EY_DEF_VALUE_ETL_STAGE
1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,1,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
2,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,5,Name of Company Code or C,Nederland,Nederland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
3,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,6,Name of Company Code or C,Nederland,Nederland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,10,Name of Company Code or C,Nederland,Nederland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,11,Name of Company Code or C,Nederland,Nederland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
6,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,20,Name of Company Code or C,Maleisi�,Maleisi�,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
7,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,25,Name of Company Code or C,Maleisi�,Maleisi�,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
8,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,30,Name of Company Code or C,Roemeni�,Roemeni�,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
9,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,40,Name of Company Code or C,Maleisi�,Maleisi�,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
10,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,50,Name of Company Code or C,Nederland,Nederland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
11,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,AR01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
12,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,AT01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
13,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,AU01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
14,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,BE01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
15,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,BR01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
16,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,CA01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
17,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,CH01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
18,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,CN01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
19,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,COPY,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
20,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,CZ01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
21,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,DE01,Name of Company Code or C,EY empty,EY empty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20141115,NULL,20141115
