period_id,bu_id,fiscal_period_cd,fiscal_period_desc,fiscal_period_start,fiscal_period_end,fiscal_quarter_cd,fiscal_quarter_desc,fiscal_quarter_start,fiscal_quarter_end,fiscal_year_cd,fiscal_year_desc,fiscal_year_start,fiscal_year_end,adjustment_period,engagement_id,fiscal_period_seq,ver_start_date_id,ver_end_date_id,ver_desc
11,1,2006-011,2006-011,20061101,20061130,2006-Q4,2006-Q4,20061001,20061231,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,11,20141115,NULL,20141115
12,1,2006-012,2006-012,20061201,20061231,2006-Q4,2006-Q4,20061001,20061231,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,12,20141115,NULL,20141115
13,1,2006-013,2006-013,20061231,20061231,2006-Q4,2006-Q4,20060930,20061231,2006,2006,20060101,20061231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,13,20141115,NULL,20141115
14,1,2006-014,2006-014,20061231,20061231,2006-Q4,2006-Q4,20060930,20061231,2006,2006,20060101,20061231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,14,20141115,NULL,20141115
15,1,2006-015,2006-015,20061231,20061231,2006-Q4,2006-Q4,20060930,20061231,2006,2006,20060101,20061231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,15,20141115,NULL,20141115
16,1,2006-016,2006-016,20061231,20061231,2006-Q4,2006-Q4,20060930,20061231,2006,2006,20060101,20061231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,16,20141115,NULL,20141115
17,1,2007-001,2007-001,20070101,20070131,2007-Q1,2007-Q1,20070101,20070331,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,1,20141115,NULL,20141115
18,1,2007-002,2007-002,20070201,20070228,2007-Q1,2007-Q1,20070101,20070331,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2,20141115,NULL,20141115
19,1,2007-003,2007-003,20070301,20070331,2007-Q1,2007-Q1,20070101,20070331,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,3,20141115,NULL,20141115
20,1,2007-004,2007-004,20070401,20070430,2007-Q2,2007-Q2,20070401,20070630,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,4,20141115,NULL,20141115
21,1,2007-005,2007-005,20070501,20070531,2007-Q2,2007-Q2,20070401,20070630,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,5,20141115,NULL,20141115
22,1,2007-006,2007-006,20070601,20070630,2007-Q2,2007-Q2,20070401,20070630,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,6,20141115,NULL,20141115
23,1,2007-007,2007-007,20070701,20070731,2007-Q3,2007-Q3,20070701,20070930,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,7,20141115,NULL,20141115
24,1,2007-008,2007-008,20070801,20070831,2007-Q3,2007-Q3,20070701,20070930,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,8,20141115,NULL,20141115
25,1,2007-009,2007-009,20070901,20070930,2007-Q3,2007-Q3,20070701,20070930,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,9,20141115,NULL,20141115
26,1,2007-010,2007-010,20071001,20071031,2007-Q4,2007-Q4,20071001,20071231,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,10,20141115,NULL,20141115
27,1,2007-011,2007-011,20071101,20071130,2007-Q4,2007-Q4,20071001,20071231,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,11,20141115,NULL,20141115
28,1,2007-012,2007-012,20071201,20071231,2007-Q4,2007-Q4,20071001,20071231,2007,2007,20070101,20071231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,12,20141115,NULL,20141115
29,1,2007-013,2007-013,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,13,20141115,NULL,20141115
30,1,2007-014,2007-014,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,14,20141115,NULL,20141115
31,1,2007-015,2007-015,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,15,20141115,NULL,20141115
32,1,2007-016,2007-016,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,16,20141115,NULL,20141115
33,1,2008-001,2008-001,20080101,20080131,2008-Q1,2008-Q1,20080101,20080331,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,1,20141115,NULL,20141115
34,1,2008-002,2008-002,20080201,20080229,2008-Q1,2008-Q1,20080101,20080331,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2,20141115,NULL,20141115
35,1,2008-003,2008-003,20080301,20080331,2008-Q1,2008-Q1,20080101,20080331,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,3,20141115,NULL,20141115
36,1,2008-004,2008-004,20080401,20080430,2008-Q2,2008-Q2,20080401,20080630,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,4,20141115,NULL,20141115
37,1,2008-005,2008-005,20080501,20080531,2008-Q2,2008-Q2,20080401,20080630,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,5,20141115,NULL,20141115
38,1,2008-006,2008-006,20080601,20080630,2008-Q2,2008-Q2,20080401,20080630,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,6,20141115,NULL,20141115
39,1,2008-007,2008-007,20080701,20080731,2008-Q3,2008-Q3,20080701,20080930,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,7,20141115,NULL,20141115
40,1,2008-008,2008-008,20080801,20080831,2008-Q3,2008-Q3,20080701,20080930,2008,2008,20080101,20081231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,8,20141115,NULL,20141115
